Year,Month,Date,City,County_State,Country,Latitude,Longitude,Notes
2026,March,2026-03-12,Tokyo,Tokyo,Japan,35.6762,139.6503,Cherry blossom season in Ueno Park
2026,June,2026-06-05,Kyoto,Kyoto Prefecture,Japan,35.0116,135.7681,Visited Fushimi Inari and Arashiyama Bamboo Grove
2025,July,2025-07-14,Paris,Île-de-France,France,48.8566,2.3522,Bastille Day celebrations & Louvre Museum
2025,August,2025-08-02,Nice,Provence-Alpes-Côte d'Azur,France,43.7102,7.2620,Promenade des Anglais & French Riviera
2024,May,2024-05-18,Rome,Lazio,Italy,41.9028,12.4964,Colosseum and Vatican City trip
2024,September,2024-09-10,Florence,Tuscany,Italy,43.7696,11.2558,Uffizi Gallery & Tuscan countryside
2023,October,2023-10-05,New York,New York,United States,40.7128,-74.0060,Autumn in Central Park & Broadway shows
2023,December,2023-12-20,Boston,Massachusetts,United States,42.3601,-71.0589,Freedom Trail and winter harbour walk
2022,June,2022-06-15,London,Greater London,United Kingdom,51.5074,-0.1278,West End shows & British Museum
2022,July,2022-07-01,Edinburgh,Scotland,United Kingdom,55.9533,-3.1883,Edinburgh Castle & Royal Mile
2021,August,2021-08-10,Sydney,New South Wales,Australia,-33.8688,151.2093,Opera House & Manly Beach
2021,September,2021-09-01,Melbourne,Victoria,Australia,-37.8136,144.9631,Laneways coffee culture & Great Ocean Road
2020,February,2020-02-12,Barcelona,Catalonia,Spain,41.3851,2.1734,Sagrada Familia & Gothic Quarter
2019,May,2019-05-20,Seoul,Seoul Capital Area,South Korea,37.5665,126.9780,Gyeongbokgung Palace & street food in Myeongdong
2019,October,2019-10-15,Busan,Yeongnam,South Korea,35.1796,129.0756,Haeundae Beach & Gamcheon Culture Village
2018,July,2018-07-08,Vancouver,British Columbia,Canada,49.2827,-123.1207,Stanley Park & Capilano Suspension Bridge
2018,August,2018-08-14,Toronto,Ontario,Canada,43.6532,-79.3832,CN Tower & trip to Niagara Falls
2017,December,2017-12-05,Berlin,Berlin,Germany,52.5200,13.4050,Christmas markets & Brandenburg Gate
2017,December,2017-12-12,Munich,Bavaria,Germany,48.1351,11.5820,Marienplatz & Bavarian castles
2016,April,2016-04-18,Amsterdam,North Holland,Netherlands,52.3676,4.9041,Canal cruise & Keukenhof tulip gardens
2016,May,2016-05-02,Brussels,Brussels-Capital Region,Belgium,50.8503,4.3517,Grand Place & waffle tasting
